WURCS=2.0/8,10,9/[u2122A][a2122h-1a_1-5_2*NCC/3=O_6*OSO/3=O/3=O][a2121A-1a_1-5][a2122h-1a_1-5_2*NSO/3=O/3=O][a2122A-1b_1-5][a2122h-1a_1-5_2*NCC/3=O][a2122h-1a_1-5_2*NSO/3=O/3=O_6*OSO/3=O/3=O][a2121A-1a_1-5_2*OSO/3=O/3=O]/1-2-3-4-5-6-5-7-8-7/a4-b1_b4-c1_c4-d1_d4-e1_e4-f1_f4-g1_g4-h1_h4-i1_i4-j1	GlcNS6S(a1-4)IdoA2S(a1-4)GlcNS6S(a1-4)GlcA(b1-4)GlcNAc(a1-4)GlcA(b1-4)GlcNS(a1-4)IdoA(a1-4)GlcNAc6S(a1-4)GlcA		DGlcpNS[6S]a1-4LIdopA[2S]a1-4DGlcpNS[6S]a1-4DGlcpAb1-4DGlcpNAca1-4DGlcpAb1-4DGlcpNSa1-4LIdopAa1-4DGlcpNAc[6S]a1-4DGlcpA	O1C(O)[C@H](O)[C@@H](O)[C@H](O[C@H]2O[C@H](COS(=O)(=O)O)[C@@H](O[C@@H]3O[C@@H](C(=O)O)[C@@H](O[C@H]4O[C@H](CO)[C@@H](O[C@@H]5O[C@H](C(=O)O)[C@@H](O[C@H]6O[C@H](CO)[C@@H](O[C@@H]7O[C@H](C(=O)O)[C@@H](O[C@H]8O[C@H](COS(=O)(=O)O)[C@@H](O[C@@H]9O[C@@H](C(=O)O)[C@@H](O[C@H]%10O[C@H](COS(=O)(=O)O)[C@@H](O)[C@H](O)[C@H]%10NS(=O)(=O)O)[C@H](O)[C@H]9OS(=O)(=O)O)[C@H](O)[C@H]8NS(=O)(=O)O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6NC(C)=O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4NS(=O)(=O)O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2NC(C)=O)[C@H]1C(=O)O
WURCS=2.0/8,10,9/[u2122A][a2122h-1a_1-5_2*NCC/3=O][a2121A-1a_1-5_2*OSO/3=O/3=O][a2122h-1a_1-5_2*NSO/3=O/3=O_6*OSO/3=O/3=O][a2122A-1b_1-5][a2122h-1a_1-5_2*NCC/3=O_6*OSO/3=O/3=O][a2122h-1a_1-5_2*NSO/3=O/3=O][a2121A-1a_1-5]/1-2-3-4-5-6-5-7-8-7/a4-b1_b4-c1_c4-d1_d4-e1_e4-f1_f4-g1_g4-h1_h4-i1_i4-j1	GlcNS(a1-4)IdoA(a1-4)GlcNS(a1-4)GlcA(b1-4)GlcNAc6S(a1-4)GlcA(b1-4)GlcNS6S(a1-4)IdoA2S(a1-4)GlcNAc(a1-4)GlcA		DGlcpNSa1-4LIdopAa1-4DGlcpNSa1-4DGlcpAb1-4DGlcpNAc[6S]a1-4DGlcpAb1-4DGlcpNS[6S]a1-4LIdopA[2S]a1-4DGlcpNAca1-4DGlcpA	O1C(O)[C@H](O)[C@@H](O)[C@H](O[C@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@@H](C(=O)O)[C@@H](O[C@H]4O[C@H](COS(=O)(=O)O)[C@@H](O[C@@H]5O[C@H](C(=O)O)[C@@H](O[C@H]6O[C@H](COS(=O)(=O)O)[C@@H](O[C@@H]7O[C@H](C(=O)O)[C@@H](O[C@H]8O[C@H](CO)[C@@H](O[C@@H]9O[C@@H](C(=O)O)[C@@H](O[C@H]%10O[C@H](CO)[C@@H](O)[C@H](O)[C@H]%10NS(=O)(=O)O)[C@H](O)[C@H]9O)[C@H](O)[C@H]8NS(=O)(=O)O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6NC(C)=O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4NS(=O)(=O)O)[C@H](O)[C@H]3OS(=O)(=O)O)[C@H](O)[C@H]2NC(C)=O)[C@H]1C(=O)O
WURCS=2.0/5,10,9/[u2122A][a2122h-1a_1-5_2*NCC/3=O][a2121A-1a_1-5][a2122h-1a_1-5_2*NSO/3=O/3=O][a2122A-1b_1-5]/1-2-3-4-5-2-5-4-3-4/a4-b1_b4-c1_c4-d1_d4-e1_e4-f1_f4-g1_g4-h1_h4-i1_i4-j1	GlcNS(a1-4)IdoA(a1-4)GlcNS(a1-4)GlcA(b1-4)GlcNAc(a1-4)GlcA(b1-4)GlcNS(a1-4)IdoA(a1-4)GlcNAc(a1-4)GlcA		DGlcpNSa1-4LIdopAa1-4DGlcpNSa1-4DGlcpAb1-4DGlcpNAca1-4DGlcpAb1-4DGlcpNSa1-4LIdopAa1-4DGlcpNAca1-4DGlcpA	O1C(O)[C@H](O)[C@@H](O)[C@H](O[C@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@@H](C(=O)O)[C@@H](O[C@H]4O[C@H](CO)[C@@H](O[C@@H]5O[C@H](C(=O)O)[C@@H](O[C@H]6O[C@H](CO)[C@@H](O[C@@H]7O[C@H](C(=O)O)[C@@H](O[C@H]8O[C@H](CO)[C@@H](O[C@@H]9O[C@@H](C(=O)O)[C@@H](O[C@H]%10O[C@H](CO)[C@@H](O)[C@H](O)[C@H]%10NS(=O)(=O)O)[C@H](O)[C@H]9O)[C@H](O)[C@H]8NS(=O)(=O)O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6NC(C)=O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4NS(=O)(=O)O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2NC(C)=O)[C@H]1C(=O)O
WURCS=2.0/3,10,9/[u2122A][a2122h-1a_1-5_2*NCC/3=O][a2122A-1b_1-5]/1-2-3-2-3-2-3-2-3-2/a4-b1_b4-c1_c4-d1_d4-e1_e4-f1_f4-g1_g4-h1_h4-i1_i4-j1	GlcNAc(a1-4)GlcA(b1-4)GlcNAc(a1-4)GlcA(b1-4)GlcNAc(a1-4)GlcA(b1-4)GlcNAc(a1-4)GlcA(b1-4)GlcNAc(a1-4)GlcA		DGlcpNAca1-4DGlcpAb1-4DGlcpNAca1-4DGlcpAb1-4DGlcpNAca1-4DGlcpAb1-4DGlcpNAca1-4DGlcpAb1-4DGlcpNAca1-4DGlcpA	O1C(O)[C@H](O)[C@@H](O)[C@H](O[C@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](C(=O)O)[C@@H](O[C@H]4O[C@H](CO)[C@@H](O[C@@H]5O[C@H](C(=O)O)[C@@H](O[C@H]6O[C@H](CO)[C@@H](O[C@@H]7O[C@H](C(=O)O)[C@@H](O[C@H]8O[C@H](CO)[C@@H](O[C@@H]9O[C@H](C(=O)O)[C@@H](O[C@H]%10O[C@H](CO)[C@@H](O)[C@H](O)[C@H]%10NC(C)=O)[C@H](O)[C@H]9O)[C@H](O)[C@H]8NC(C)=O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6NC(C)=O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4NC(C)=O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2NC(C)=O)[C@H]1C(=O)O
WURCS=2.0/5,10,9/[u2122A_2*OSO/3=O/3=O][a2122h-1a_1-5_2*NCC/3=O_3*OSO/3=O/3=O_6*OSO/3=O/3=O][a2121A-1a_1-5_2*OSO/3=O/3=O][a2122h-1a_1-5_2*NSO/3=O/3=O_3*OSO/3=O/3=O_6*OSO/3=O/3=O][a2122A-1b_1-5_2*OSO/3=O/3=O]/1-2-3-4-5-2-5-4-3-4/a4-b1_b4-c1_c4-d1_d4-e1_e4-f1_f4-g1_g4-h1_h4-i1_i4-j1	GlcNS3S6S(a1-4)IdoA2S(a1-4)GlcNS3S6S(a1-4)GlcA2S(b1-4)GlcNAc3S6S(a1-4)GlcA2S(b1-4)GlcNS3S6S(a1-4)IdoA2S(a1-4)GlcNAc3S6S(a1-4)GlcA2S		DGlcpNS[3S,6S]a1-4LIdopA[2S]a1-4DGlcpNS[3S,6S]a1-4DGlcpA[2S]b1-4DGlcpNAc[3S,6S]a1-4DGlcpA[2S]b1-4DGlcpNS[3S,6S]a1-4LIdopA[2S]a1-4DGlcpNAc[3S,6S]a1-4DGlcpA[2S]	O1C(O)[C@H](OS(=O)(=O)O)[C@@H](O)[C@H](O[C@H]2O[C@H](COS(=O)(=O)O)[C@@H](O[C@@H]3O[C@@H](C(=O)O)[C@@H](O[C@H]4O[C@H](COS(=O)(=O)O)[C@@H](O[C@@H]5O[C@H](C(=O)O)[C@@H](O[C@H]6O[C@H](COS(=O)(=O)O)[C@@H](O[C@@H]7O[C@H](C(=O)O)[C@@H](O[C@H]8O[C@H](COS(=O)(=O)O)[C@@H](O[C@@H]9O[C@@H](C(=O)O)[C@@H](O[C@H]%10O[C@H](COS(=O)(=O)O)[C@@H](O)[C@H](OS(=O)(=O)O)[C@H]%10NS(=O)(=O)O)[C@H](O)[C@H]9OS(=O)(=O)O)[C@H](OS(=O)(=O)O)[C@H]8NS(=O)(=O)O)[C@H](O)[C@H]7OS(=O)(=O)O)[C@H](OS(=O)(=O)O)[C@H]6NC(C)=O)[C@H](O)[C@H]5OS(=O)(=O)O)[C@H](OS(=O)(=O)O)[C@H]4NS(=O)(=O)O)[C@H](O)[C@H]3OS(=O)(=O)O)[C@H](OS(=O)(=O)O)[C@H]2NC(C)=O)[C@H]1C(=O)O
WURCS=2.0/3,10,9/[u2122A][a2112h-1b_1-5_2*NCC/3=O][a2122A-1b_1-5]/1-2-3-2-3-2-3-2-3-2/b3-c1_d3-e1_f3-g1_h3-i1_a4-b1_c4-d1_e4-f1_g4-h1_i4-j1	GalNAc(b1-4)GlcA(b1-3)GalNAc(b1-4)GlcA(b1-3)GalNAc(b1-4)GlcA(b1-3)GalNAc(b1-4)GlcA(b1-3)GalNAc(b1-4)GlcA		DGalpNAcb1-4DGlcpAb1-3DGalpNAcb1-4DGlcpAb1-3DGalpNAcb1-4DGlcpAb1-3DGalpNAcb1-4DGlcpAb1-3DGalpNAcb1-4DGlcpA	O1C(O)[C@H](O)[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](C(=O)O)[C@@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@@H]5O[C@H](C(=O)O)[C@@H](O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O[C@@H]7O[C@H](C(=O)O)[C@@H](O[C@@H]8O[C@H](CO)[C@H](O)[C@H](O[C@@H]9O[C@H](C(=O)O)[C@@H](O[C@@H]%10O[C@H](CO)[C@H](O)[C@H](O)[C@H]%10NC(C)=O)[C@H](O)[C@H]9O)[C@H]8NC(C)=O)[C@H](O)[C@H]7O)[C@H]6NC(C)=O)[C@H](O)[C@H]5O)[C@H]4NC(C)=O)[C@H](O)[C@H]3O)[C@H]2NC(C)=O)[C@H]1C(=O)O
WURCS=2.0/3,3,2/[u2122h_2*NCC/3=O][a2112h-1b_1-5][a2122A-1b_1-5_3*OSO/3=O/3=O]/1-2-3/b3-c1_a4-b1	GlcA3S(b1-3)Gal(b1-4)GlcNAc		DGlcpA[3S]b1-3DGalpb1-4DGlcpNAc	O1C(O)[C@H](NC(C)=O)[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](OS(=O)(=O)O)[C@H]3O)[C@H]2O)[C@H]1CO
WURCS=2.0/3,4,3/[u212h][a2112h-1b_1-5][a2122A-1b_1-5_3*OSO/3=O/3=O]/1-2-2-3/b3-c1_c3-d1_a4-b1	GlcA3S(b1-3)Gal(b1-3)Gal(b1-4)Xyl		DGlcpA[3S]b1-3DGalpb1-3DGalpb1-4DXylp	O1C[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](C(=O)O)[C@@H](O)[C@H](OS(=O)(=O)O)[C@H]4O)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)C1O
WURCS=2.0/4,5,4/[u212h][a2112h-1b_1-5][a2122A-1b_1-5][a2112h-1b_1-5_2*NCC/3=O]/1-2-2-3-4/b3-c1_c3-d1_a4-b1_d4-e1	GalNAc(b1-4)GlcA(b1-3)Gal(b1-3)Gal(b1-4)Xyl		DGalpNAcb1-4DGlcpAb1-3DGalpb1-3DGalpb1-4DXylp	O1C[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](C(=O)O)[C@@H](O[C@@H]5O[C@H](CO)[C@H](O)[C@H](O)[C@H]5NC(C)=O)[C@H](O)[C@H]4O)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)C1O
WURCS=2.0/4,11,10/[u212h][a2112h-1b_1-5][a2122A-1b_1-5][a2122h-1b_1-5_2*NCC/3=O]/1-2-2-3-3-4-3-4-3-4-3/b3-c1_c3-d1_f3-g1_h3-i1_j3-k1_a4-b1_d4-e1_e4-f1_g4-h1_i4-j1	GlcA(b1-3)GlcNAc(b1-4)GlcA(b1-3)GlcNAc(b1-4)GlcA(b1-3)GlcNAc(b1-4)GlcA(b1-4)GlcA(b1-3)Gal(b1-3)Gal(b1-4)Xyl		DGlcpAb1-3DGlcpNAcb1-4DGlcpAb1-3DGlcpNAcb1-4DGlcpAb1-3DGlcpNAcb1-4DGlcpAb1-4DGlcpAb1-3DGalpb1-3DGalpb1-4DXylp	O1C[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](C(=O)O)[C@@H](O[C@@H]5O[C@H](C(=O)O)[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O[C@@H]7O[C@H](C(=O)O)[C@@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O[C@@H]9O[C@H](C(=O)O)[C@@H](O[C@@H]%10O[C@H](CO)[C@@H](O)[C@H](O[C@@H]%11O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]%11O)[C@H]%10NC(C)=O)[C@H](O)[C@H]9O)[C@H]8NC(C)=O)[C@H](O)[C@H]7O)[C@H]6NC(C)=O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)C1O
WURCS=2.0/4,5,4/[u212h][a2112h-1b_1-5][Aad21122h-2a_2-6_5*NCC/3=O][a2122A-1b_1-5_3*OSO/3=O/3=O]/1-2-2-3-4/b3-c1_c3-e1_a4-b1_b6-d2	GlcA3S(b1-3)Gal(b1-3)[Neu5Ac(a2-6)]Gal(b1-4)Xyl		DGlcpA[3S]b1-3DGalpb1-3[DNeup5Aca2-6]DGalpb1-4DXylp	O1C[C@@H](O[C@@H]2O[C@H](CO[C@]3(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O3)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](C(=O)O)[C@@H](O)[C@H](OS(=O)(=O)O)[C@H]4O)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)C1O
WURCS=2.0/7,10,9/[u212h][a2112h-1b_1-5][a2122A-1b_1-5][a2112h-1b_1-5_2*NCC/3=O][a2121A-1a_1-5][a2112h-1b_1-5_2*NCC/3=O_4*OSO/3=O/3=O][a2121A-1a_1-5_2*OSO/3=O/3=O]/1-2-2-3-4-5-6-7-4-5/b3-c1_c3-d1_e3-f1_g3-h1_i3-j1_a4-b1_d4-e1_f4-g1_h4-i1	IdoA(a1-3)GalNAc(b1-4)IdoA2S(a1-3)GalNAc4S(b1-4)IdoA(a1-3)GalNAc(b1-4)GlcA(b1-3)Gal(b1-3)Gal(b1-4)Xyl		LIdopAa1-3DGalpNAcb1-4LIdopA[2S]a1-3DGalpNAc[4S]b1-4LIdopAa1-3DGalpNAcb1-4DGlcpAb1-3DGalpb1-3DGalpb1-4DXylp	O1C[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](C(=O)O)[C@@H](O[C@@H]5O[C@H](CO)[C@H](O)[C@H](O[C@@H]6O[C@@H](C(=O)O)[C@@H](O[C@@H]7O[C@H](CO)[C@H](OS(=O)(=O)O)[C@H](O[C@@H]8O[C@@H](C(=O)O)[C@@H](O[C@@H]9O[C@H](CO)[C@H](O)[C@H](O[C@@H]%10O[C@@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]%10O)[C@H]9NC(C)=O)[C@H](O)[C@H]8OS(=O)(=O)O)[C@H]7NC(C)=O)[C@H](O)[C@H]6O)[C@H]5NC(C)=O)[C@H](O)[C@H]4O)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)C1O
WURCS=2.0/4,14,13/[u212h][a2112h-1b_1-5][a2122A-1b_1-5][a2112h-1b_1-5_2*NCC/3=O_4*OSO/3=O/3=O]/1-2-2-3-4-3-4-3-4-3-4-3-4-3/b3-c1_c3-d1_e3-f1_g3-h1_i3-j1_k3-l1_m3-n1_a4-b1_d4-e1_f4-g1_h4-i1_j4-k1_l4-m1	GlcA(b1-3)GalNAc4S(b1-4)GlcA(b1-3)GalNAc4S(b1-4)GlcA(b1-3)GalNAc4S(b1-4)GlcA(b1-3)GalNAc4S(b1-4)GlcA(b1-3)GalNAc4S(b1-4)GlcA(b1-3)Gal(b1-3)Gal(b1-4)Xyl		DGlcpAb1-3DGalpNAc[4S]b1-4DGlcpAb1-3DGalpNAc[4S]b1-4DGlcpAb1-3DGalpNAc[4S]b1-4DGlcpAb1-3DGalpNAc[4S]b1-4DGlcpAb1-3DGalpNAc[4S]b1-4DGlcpAb1-3DGalpb1-3DGalpb1-4DXylp	O1C[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](C(=O)O)[C@@H](O[C@@H]5O[C@H](CO)[C@H](OS(=O)(=O)O)[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O[C@@H]7O[C@H](CO)[C@H](OS(=O)(=O)O)[C@H](O[C@@H]8O[C@H](C(=O)O)[C@@H](O[C@@H]9O[C@H](CO)[C@H](OS(=O)(=O)O)[C@H](O[C@@H]%10O[C@H](C(=O)O)[C@@H](O[C@@H]%11O[C@H](CO)[C@H](OS(=O)(=O)O)[C@H](O[C@@H]%12O[C@H](C(=O)O)[C@@H](O[C@@H]%13O[C@H](CO)[C@H](OS(=O)(=O)O)[C@H](O[C@@H]%14O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]%14O)[C@H]%13NC(C)=O)[C@H](O)[C@H]%12O)[C@H]%11NC(C)=O)[C@H](O)[C@H]%10O)[C@H]9NC(C)=O)[C@H](O)[C@H]8O)[C@H]7NC(C)=O)[C@H](O)[C@H]6O)[C@H]5NC(C)=O)[C@H](O)[C@H]4O)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)C1O
WURCS=2.0/4,11,10/[u212h][a2112h-1b_1-5][a2122A-1b_1-5][a2122h-1a_1-5_2*NCC/3=O]/1-2-2-3-4-3-4-3-4-3-4/b3-c1_c3-d1_a4-b1_d4-e1_e4-f1_f4-g1_g4-h1_h4-i1_i4-j1_j4-k1	GlcNAc(a1-4)GlcA(b1-4)GlcNAc(a1-4)GlcA(b1-4)GlcNAc(a1-4)GlcA(b1-4)GlcNAc(a1-4)GlcA(b1-3)Gal(b1-3)Gal(b1-4)Xyl		DGlcpNAca1-4DGlcpAb1-4DGlcpNAca1-4DGlcpAb1-4DGlcpNAca1-4DGlcpAb1-4DGlcpNAca1-4DGlcpAb1-3DGalpb1-3DGalpb1-4DXylp	O1C[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](C(=O)O)[C@@H](O[C@H]5O[C@H](CO)[C@@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O[C@H]7O[C@H](CO)[C@@H](O[C@@H]8O[C@H](C(=O)O)[C@@H](O[C@H]9O[C@H](CO)[C@@H](O[C@@H]%10O[C@H](C(=O)O)[C@@H](O[C@H]%11O[C@H](CO)[C@@H](O)[C@H](O)[C@H]%11NC(C)=O)[C@H](O)[C@H]%10O)[C@H](O)[C@H]9NC(C)=O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7NC(C)=O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5NC(C)=O)[C@H](O)[C@H]4O)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)C1O
WURCS=2.0/6,11,10/[u212h][a2112h-1b_1-5][a2122A-1b_1-5][a2122h-1b_1-5_2*NCC/3=O][a2122h-1b_1-5_2*NCC/3=O_6*OSO/3=O/3=O][a2112h-1b_1-5_6*OSO/3=O/3=O]/1-2-2-3-2-4-2-5-6-4-2/b3-c1_c3-d1_e3-f1_g3-h1_i3-j1_a4-b1_d4-e1_f4-g1_h4-i1_j4-k1	Gal(b1-4)GlcNAc(b1-3)Gal6S(b1-4)GlcNAc6S(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcA(b1-3)Gal(b1-3)Gal(b1-4)Xyl		DGalpb1-4DGlcpNAcb1-3DGalp[6S]b1-4DGlcpNAc[6S]b1-3DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpAb1-3DGalpb1-3DGalpb1-4DXylp	O1C[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](C(=O)O)[C@@H](O[C@@H]5O[C@H](CO)[C@H](O)[C@H](O[C@@H]6O[C@H](CO)[C@@H](O[C@@H]7O[C@H](CO)[C@H](O)[C@H](O[C@@H]8O[C@H](COS(=O)(=O)O)[C@@H](O[C@@H]9O[C@H](COS(=O)(=O)O)[C@H](O)[C@H](O[C@@H]%10O[C@H](CO)[C@@H](O[C@@H]%11O[C@H](CO)[C@H](O)[C@H](O)[C@H]%11O)[C@H](O)[C@H]%10NC(C)=O)[C@H]9O)[C@H](O)[C@H]8NC(C)=O)[C@H]7O)[C@H](O)[C@H]6NC(C)=O)[C@H]5O)[C@H](O)[C@H]4O)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)C1O
WURCS=2.0/4,11,10/[u212h][a2112h-1b_1-5][a2122A-1b_1-5][a2112h-1b_1-5_2*NCC/3=O]/1-2-2-3-4-3-4-3-4-3-4/b3-c1_c3-d1_e3-f1_g3-h1_i3-j1_a4-b1_d4-e1_f4-g1_h4-i1_j4-k1	GalNAc(b1-4)GlcA(b1-3)GalNAc(b1-4)GlcA(b1-3)GalNAc(b1-4)GlcA(b1-3)GalNAc(b1-4)GlcA(b1-3)Gal(b1-3)Gal(b1-4)Xyl		DGalpNAcb1-4DGlcpAb1-3DGalpNAcb1-4DGlcpAb1-3DGalpNAcb1-4DGlcpAb1-3DGalpNAcb1-4DGlcpAb1-3DGalpb1-3DGalpb1-4DXylp	O1C[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](C(=O)O)[C@@H](O[C@@H]5O[C@H](CO)[C@H](O)[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O[C@@H]7O[C@H](CO)[C@H](O)[C@H](O[C@@H]8O[C@H](C(=O)O)[C@@H](O[C@@H]9O[C@H](CO)[C@H](O)[C@H](O[C@@H]%10O[C@H](C(=O)O)[C@@H](O[C@@H]%11O[C@H](CO)[C@H](O)[C@H](O)[C@H]%11NC(C)=O)[C@H](O)[C@H]%10O)[C@H]9NC(C)=O)[C@H](O)[C@H]8O)[C@H]7NC(C)=O)[C@H](O)[C@H]6O)[C@H]5NC(C)=O)[C@H](O)[C@H]4O)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)C1O
